Date,Noah_MP,CLM,CLASS,OBS
2014-01-03,-8.644379,-21.139069,-8.330774,NaN
2014-01-04,-7.946411,-21.467422,-8.616391,NaN
2014-01-05,-7.642365,-23.386337,-9.256317,NaN
2014-01-06,-7.161957,-22.793747,-9.020991,NaN
2014-01-07,-6.502075,-21.529312,-8.540167,NaN
2014-01-08,-5.969635,-20.025787,-8.168584,NaN
2014-01-09,-5.520020,-18.873169,-7.661356,NaN
2014-01-10,-5.110046,-17.831970,-7.167047,NaN
2014-01-11,-4.905334,-18.044220,-7.012544,NaN
2014-01-12,-4.923615,-18.709930,-7.146384,NaN
2014-01-13,-5.073792,-19.358582,-7.472396,NaN
2014-01-14,-5.430969,-20.360535,-8.193619,NaN
2014-01-15,-5.056000,-17.515564,-7.416096,NaN
2014-01-16,-4.398285,-15.331940,-6.652316,NaN
2014-01-17,-3.794556,-13.826172,-5.809352,NaN
2014-01-18,-3.531738,-13.609375,-5.436833,NaN
2014-01-19,-3.634277,-13.929718,-5.313518,NaN
2014-01-20,-3.844452,-14.522980,-5.453167,NaN
2014-01-21,-4.132050,-14.994476,-5.577921,NaN
2014-01-22,-4.379211,-15.116119,-5.744776,NaN
2014-01-23,-4.175018,-13.909027,-5.463033,NaN
2014-01-24,-3.752289,-12.648651,-4.862716,NaN
2014-01-25,-3.453400,-11.860596,-4.425523,NaN
2014-01-26,-3.460999,-11.824371,-4.362473,NaN
2014-01-27,-4.122467,-12.974396,-4.994629,NaN
2014-01-28,-4.450226,-13.174988,-5.045808,NaN
2014-01-29,-4.925293,-13.900696,-5.193998,NaN
2014-01-30,-5.602112,-14.730560,-5.853614,NaN
2014-01-31,-5.596375,-14.036255,-5.786967,NaN
2014-02-01,-5.230011,-13.039032,-5.422562,NaN
2014-02-02,-4.815430,-12.295532,-4.969051,NaN
2014-02-03,-4.767120,-12.546387,-4.937010,NaN
2014-02-04,-4.954498,-13.082153,-5.170121,NaN
2014-02-05,-5.206055,-13.537598,-5.411076,NaN
2014-02-06,-5.455627,-13.805420,-5.770678,NaN
2014-02-07,-5.397125,-13.404663,-5.570287,NaN
2014-02-08,-5.565857,-13.909698,-5.764052,NaN
2014-02-09,-5.969635,-14.775452,-6.027338,NaN
2014-02-10,-6.426971,-15.598602,-6.487664,NaN
2014-02-11,-6.940063,-16.353516,-7.059053,NaN
2014-02-12,-7.325531,-16.738586,-7.472542,NaN
2014-02-13,-7.603912,-17.079468,-7.664002,NaN
2014-02-14,-7.906860,-17.644211,-8.031307,NaN
2014-02-15,-7.964874,-17.470947,-8.020127,NaN
2014-02-16,-7.732117,-16.957367,-7.861682,NaN
2014-02-17,-7.602478,-16.749573,-7.810824,NaN
2014-02-18,-7.320557,-16.243866,-7.525428,NaN
2014-02-19,-7.060272,-16.185547,-7.364389,NaN
2014-02-20,-7.051910,-16.716705,-7.501676,NaN
2014-02-21,-7.210144,-17.240952,-7.795427,NaN
2014-02-22,-7.432404,-17.637650,-8.111546,NaN
2014-02-23,-7.658386,-17.936920,-8.396236,NaN
2014-02-24,-7.765076,-17.779633,-8.498580,-9.342915
2014-02-25,-7.810059,-17.626007,-8.541155,-9.513333
