Date,Noah_MP,CLM,CLASS,OBS,PR,T2
2014-01-03,-1.135198,-0.847685,-1.059660,NaN,0.168000,244.710999
2014-01-04,-1.137373,-0.847705,-1.059660,NaN,0.000000,241.086975
2014-01-05,-1.139380,-0.853142,-1.059660,NaN,0.228000,236.182953
2014-01-06,-1.141231,-0.858734,-1.059660,NaN,3.750000,244.923187
2014-01-07,-1.142936,-0.858755,-1.059660,NaN,0.099000,245.972397
2014-01-08,-1.144505,-0.858778,-1.059660,NaN,0.402000,251.196548
2014-01-09,-1.145946,-0.858803,-1.059660,NaN,2.145000,252.883728
2014-01-10,-1.147266,-0.858829,-1.059660,NaN,1.677000,253.753174
2014-01-11,-1.148473,-0.858854,-1.059660,NaN,1.128000,246.940201
2014-01-12,-1.149573,-0.858875,-1.059660,NaN,0.204000,245.481277
2014-01-13,-1.150573,-0.858894,-1.059660,NaN,0.000000,239.840378
2014-01-14,-1.151478,-0.858909,-1.059660,NaN,0.888000,245.678452
2014-01-15,-1.152293,-0.858940,-1.059660,NaN,5.304000,266.206604
2014-01-16,-1.153023,-0.858974,-1.059660,NaN,0.468000,268.248199
2014-01-17,-1.153674,-0.859011,-1.059660,NaN,0.228000,269.252991
2014-01-18,-1.154251,-0.859045,-1.059660,NaN,0.390000,257.465698
2014-01-19,-1.154759,-0.859077,-1.059660,NaN,1.389000,254.814453
2014-01-20,-1.155201,-0.859105,-1.059660,NaN,0.000000,250.872253
2014-01-21,-1.155580,-0.859132,-1.059660,NaN,0.129000,249.631210
2014-01-22,-1.155897,-0.859158,-1.059660,NaN,0.168000,255.919418
2014-01-23,-1.156158,-0.859194,-1.059660,NaN,0.000000,263.931030
2014-01-24,-1.156366,-0.859233,-1.059660,NaN,0.168000,265.945190
2014-01-25,-1.156524,-0.859270,-1.059660,NaN,0.000000,267.891357
2014-01-26,-1.156635,-0.859306,-1.059660,NaN,0.000000,255.485016
2014-01-27,-1.156703,-0.859336,-1.059660,NaN,0.000000,253.717621
2014-01-28,-1.156728,-0.859369,-1.059660,NaN,0.294000,254.051147
2014-01-29,-1.156712,-0.859399,-1.059660,NaN,0.000000,248.132660
2014-01-30,-1.156658,-0.859426,-1.059660,NaN,0.000000,251.137772
2014-01-31,-1.156567,-0.859459,-1.059660,NaN,0.261000,258.679962
2014-02-01,-1.156442,-0.859493,-1.059660,NaN,0.795000,262.374115
2014-02-02,-1.156283,-0.859524,-1.059660,NaN,0.645000,260.738464
2014-02-03,-1.156094,-0.859558,-1.059660,NaN,0.786000,255.957703
2014-02-04,-1.155876,-0.859588,-1.059660,NaN,0.150000,254.256027
2014-02-05,-1.155630,-0.859616,-1.059660,NaN,0.000000,252.230942
2014-02-06,-1.155358,-0.859648,-1.059660,NaN,0.144000,254.970078
2014-02-07,-1.155062,-0.859682,-1.059660,NaN,0.546000,255.363556
2014-02-08,-1.154743,-0.859712,-1.059660,NaN,0.129000,248.870392
